Dataset,Layers,Type,mse
MTM,4,uncorrupted,0.003030602
MTM,6,uncorrupted,0.002539355
MTM,8,uncorrupted,0.00693553
MTM,4,corrupted,0.003426493
MTM,6,corrupted,0.002707444
MTM,8,corrupted,0.02263451
CMU,4,uncorrupted,0.000250169
CMU,6,uncorrupted,0.000157194
CMU,8,uncorrupted,0.000227397
CMU,4,corrupted,0.00117952
CMU,6,corrupted,0.000558784
CMU,8,corrupted,0.000380331
Mixed,4,uncorrupted,0.002855847
Mixed,6,uncorrupted,0.00195018
Mixed,8,uncorrupted,0.007202558
Mixed,4,corrupted,0.003140727
Mixed,6,corrupted,0.004325609
Mixed,8,corrupted,0.004413096
